fold,k,metric,weights,accuracy,precision,recall,specificity,f1,balanced_accuracy,roc_auc,average_precision,TN,FP,FN,TP
1,1,euclidean,uniform,0.73270833333333329,0.39759036144578314,0.403954802259887,0.82611021936864637,0.40074731433909389,0.61503251081426669,0.6150325108142668,0.29248353583826836,3088,650,633,429
1,3,euclidean,uniform,0.77270833333333333,0.48133848133848134,0.35216572504708099,0.89218833600856073,0.40674279499728111,0.62217703052782092,0.67437872755907413,0.3631936237246467,3335,403,688,374
1,5,euclidean,uniform,0.78770833333333334,0.53111432706222861,0.3455743879472693,0.913322632423756,0.41871078151739877,0.62944851018551262,0.69709914160971098,0.40521964520361509,3414,324,695,367
1,7,euclidean,uniform,0.79812499999999997,0.57299843014128726,0.34369114877589452,0.92723381487426426,0.429664508534432,0.63546248182507936,0.70861168797276208,0.43336548680010412,3466,272,697,365
1,9,euclidean,uniform,0.80249999999999999,0.59531772575250841,0.3352165725047081,0.93525949705724987,0.42891566265060244,0.63523803478097896,0.72506421049555692,0.45527188814741676,3496,242,706,356
1,11,euclidean,uniform,0.80312499999999998,0.60103626943005184,0.32768361581920902,0.9382022471910112,0.42413162705667273,0.63294293150511005,0.73051441952603646,0.47002560437247315,3507,231,714,348
1,13,euclidean,uniform,0.80833333333333335,0.62369337979094075,0.33709981167608288,0.942215088282504,0.43765281173594134,0.63965744997929341,0.73577154364147324,0.47722548386834129,3522,216,704,358
1,15,euclidean,uniform,0.8091666666666667,0.62717770034843201,0.33898305084745761,0.94275013376136974,0.44009779951100242,0.64086659230441367,0.73679603985736153,0.48391956635525718,3524,214,702,360
1,17,euclidean,uniform,0.81229166666666663,0.64000000000000001,0.34651600753295669,0.9446227929373997,0.44960293219303604,0.64556940023517817,0.73768085494423341,0.49084520546383598,3531,207,694,368
1,19,euclidean,uniform,0.81166666666666665,0.6376306620209059,0.34463276836158191,0.94435527019796683,0.44743276283618583,0.64449401927977434,0.7374182443454963,0.49359267695623493,3530,208,696,366
1,21,euclidean,uniform,0.81270833333333337,0.64223385689354273,0.34651600753295669,0.94515783841626533,0.45015290519877676,0.64583692297461104,0.73952681222725025,0.49753644424130017,3533,205,694,368
1,23,euclidean,uniform,0.8125,0.6436170212765957,0.34180790960451979,0.9462279293739968,0.44649446494464945,0.64401791948925835,0.73915034072623098,0.49918628871160692,3537,201,699,363
1,25,euclidean,uniform,0.81229166666666663,0.64452423698384198,0.33804143126177022,0.9470304975922953,0.44348363187152562,0.64253596442703276,0.73944985535634933,0.49987688734029212,3540,198,703,359
1,27,euclidean,uniform,0.81354166666666672,0.65321100917431196,0.3352165725047081,0.949438202247191,0.44306160547604234,0.64232738737594952,0.74083457522326313,0.49767067150753236,3549,189,706,356
1,29,euclidean,uniform,0.81416666666666671,0.65625,0.33615819209039549,0.94997324772605674,0.44458281444582815,0.64306571990822614,0.74087865853719959,0.49897302056237042,3551,187,705,357
1,31,euclidean,uniform,0.81395833333333334,0.65794392523364487,0.33145009416195859,0.9510433386837881,0.44082654978083907,0.64124671642287334,0.74224196650877294,0.50333888281727845,3555,183,710,352
1,1,euclidean,distance,0.73270833333333329,0.39759036144578314,0.403954802259887,0.82611021936864637,0.40074731433909389,0.61503251081426669,0.6150325108142668,0.29248353583826836,3088,650,633,429
