operating_point,reference,metric,difference_definition,observed_difference,ci_lower_95,ci_upper_95,includes_zero,resamples,seed
min_fp_recall_50,current_v2_threshold,FP,candidate minus current V2 threshold,-141,-164,-119,False,10000,20260916
min_fp_recall_50,current_v2_threshold,TP,candidate minus current V2 threshold,-53,-67,-39,False,10000,20260916
min_fp_recall_50,current_v2_threshold,FN,candidate minus current V2 threshold,53,39,67,False,10000,20260916
min_fp_recall_50,current_v2_threshold,accuracy,candidate minus current V2 threshold,0.014666666666666717,0.010333333333333306,0.019333333333333313,False,10000,20260916
min_fp_recall_50,current_v2_threshold,precision,candidate minus current V2 threshold,0.040448865844068149,0.029665571149477474,0.05159134506582292,False,10000,20260916
min_fp_recall_50,current_v2_threshold,recall,candidate minus current V2 threshold,-0.039939713639789043,-0.050769230769230733,-0.029628764278296991,False,10000,20260916
min_fp_recall_50,current_v2_threshold,f1,candidate minus current V2 threshold,-0.0014979738867034742,-0.011049819943674981,0.007687849082661769,True,10000,20260916
min_fp_recall_50,current_v2_threshold,f0_5,candidate minus current V2 threshold,0.023203485467548024,0.013458505502722196,0.033134306858057787,False,10000,20260916
min_fp_recall_50,current_v2_threshold,balanced_accuracy,candidate minus current V2 threshold,-0.0048831887265926577,-0.010882005884302734,0.00083041117879879844,True,10000,20260916
min_fp_f1_52,current_v2_threshold,FP,candidate minus current V2 threshold,-242,-272,-212,False,10000,20260916
min_fp_f1_52,current_v2_threshold,TP,candidate minus current V2 threshold,-116,-137,-96,False,10000,20260916
min_fp_f1_52,current_v2_threshold,FN,candidate minus current V2 threshold,116,96,137,False,10000,20260916
min_fp_f1_52,current_v2_threshold,accuracy,candidate minus current V2 threshold,0.021000000000000019,0.014833333333333365,0.027166666666666672,False,10000,20260916
min_fp_f1_52,current_v2_threshold,precision,candidate minus current V2 threshold,0.068764702197472216,0.053215712948866761,0.084681600018658237,False,10000,20260916
min_fp_f1_52,current_v2_threshold,recall,candidate minus current V2 threshold,-0.087415222305953333,-0.10285285285285284,-0.072408536585365835,False,10000,20260916
min_fp_f1_52,current_v2_threshold,f1,candidate minus current V2 threshold,-0.018510070771004861,-0.032414443387238805,-0.0049415206777879955,False,10000,20260916
min_fp_f1_52,current_v2_threshold,f0_5,candidate minus current V2 threshold,0.031126992961556854,0.017065761757714137,0.045243244938182874,False,10000,20260916
min_fp_f1_52,current_v2_threshold,balanced_accuracy,candidate minus current V2 threshold,-0.017814180808444324,-0.025974246507769135,-0.00967196237673398,False,10000,20260916
min_fp_accuracy_guard,current_v2_threshold,FP,candidate minus current V2 threshold,-193,-220.02499999999998,-167,False,10000,20260916
min_fp_accuracy_guard,current_v2_threshold,TP,candidate minus current V2 threshold,-85,-103,-68,False,10000,20260916
min_fp_accuracy_guard,current_v2_threshold,FN,candidate minus current V2 threshold,85,68,103,False,10000,20260916
min_fp_accuracy_guard,current_v2_threshold,accuracy,candidate minus current V2 threshold,0.018000000000000016,0.012500000000000067,0.023499999999999965,False,10000,20260916
min_fp_accuracy_guard,current_v2_threshold,precision,candidate minus current V2 threshold,0.054136027755700145,0.040913138979426167,0.067794323936245598,False,10000,20260916
min_fp_accuracy_guard,current_v2_threshold,recall,candidate minus current V2 threshold,-0.064054257724189934,-0.077449400783703701,-0.051340953407224929,False,10000,20260916
min_fp_accuracy_guard,current_v2_threshold,f1,candidate minus current V2 threshold,-0.0097017074171869,-0.0216069093584173,0.0016870966018158128,True,10000,20260916
min_fp_accuracy_guard,current_v2_threshold,f0_5,candidate minus current V2 threshold,0.027269374147272485,0.015169982236067034,0.039181652341014062,False,10000,20260916
min_fp_accuracy_guard,current_v2_threshold,balanced_accuracy,candidate minus current V2 threshold,-0.011376583174100174,-0.018672868656313572,-0.0043181389804439951,False,10000,20260916
max_precision_recall_50,current_v2_threshold,FP,candidate minus current V2 threshold,-141,-164,-119,False,10000,20260916
max_precision_recall_50,current_v2_threshold,TP,candidate minus current V2 threshold,-53,-67,-39,False,10000,20260916
max_precision_recall_50,current_v2_threshold,FN,candidate minus current V2 threshold,53,39,67,False,10000,20260916
max_precision_recall_50,current_v2_threshold,accuracy,candidate minus current V2 threshold,0.014666666666666717,0.010333333333333306,0.019333333333333313,False,10000,20260916
max_precision_recall_50,current_v2_threshold,precision,candidate minus current V2 threshold,0.040448865844068149,0.029665571149477474,0.05159134506582292,False,10000,20260916
max_precision_recall_50,current_v2_threshold,recall,candidate minus current V2 threshold,-0.039939713639789043,-0.050769230769230733,-0.029628764278296991,False,10000,20260916
