training_position,row_id,original_id,fold,y_true,probability_class_1
0,0,1,5,1,0.37573618801351838
1,2,3,3,0,0.11661526558455695
2,3,4,3,0,0.098832825414884279
3,4,5,3,0,0.094553624810036804
4,5,6,1,0,0.22374695808826939
5,6,7,4,0,0.091739681011270752
6,7,8,4,0,0.17265971242061801
7,8,9,2,0,0.18724283846365472
8,9,10,5,0,0.12630866487837841
9,10,11,2,0,0.15594669289095667
10,12,13,4,0,0.099435872766883732
11,13,14,1,1,0.60647664009349034
12,15,16,1,0,0.45838243525676764
13,16,17,4,1,0.44496687172913896
14,18,19,4,0,0
15,19,20,2,0,0.3539621490901072
16,22,23,2,1,0.64730803108772572
17,23,24,2,1,0.045007620004044166
18,24,25,2,0,0.046856874306152367
19,25,26,5,0,0.13580035568941706
20,27,28,5,0,0.084055126346454928
21,28,29,3,0,0.15279599935982124
22,29,30,1,0,0.04974344341150698
23,30,31,2,0,0.083803219381345037
24,31,32,4,1,0.70056466151880248
25,32,33,2,0,0.13438142145555548
26,35,36,2,0,0.15850887034433547
27,36,37,2,0,0.065567684074674018
28,37,38,4,0,0.10134565841780227
29,38,39,2,1,0.25892396263671341
30,39,40,3,0,0.20766052385092307
31,40,41,2,0,0.085265868096795858
32,41,42,5,0,0.067236272724476256
33,42,43,1,0,0.24023839323005391
34,43,44,1,0,0.031766522334361932
35,44,45,2,0,0.23817408012327598
36,46,47,5,1,0.16757984882673224
37,47,48,2,1,0.17265449256606644
38,48,49,5,0,0.048090916725713882
39,49,50,5,0,0.092166224698076865
40,50,51,3,1,0.60937037387438975
41,51,52,1,0,0.086167864982795328
42,52,53,1,0,0.0093250234403542374
43,53,54,1,0,0.33348546104454346
44,55,56,5,0,0.094931562279844034
45,56,57,5,0,0.075851421149567264
46,57,58,3,0,0.067263138188073002
47,58,59,3,0,0.55757071221634902
48,59,60,2,0,0.10101146949718623
49,60,61,4,1,0.035855220345313916
50,61,62,1,0,0.1489903424168931
51,62,63,2,1,0.70176819452190664
52,64,65,1,0,0.10364702508438048
53,67,68,5,0,0.18521644141284668
54,68,69,1,0,0.18455260383151725
55,69,70,2,0,0.7168063759026968
56,70,71,1,0,0.15050132970570715
57,71,72,5,1,0.79530408229790284
58,72,73,1,0,0.19246517758976034
59,74,75,2,0,0.036473626889745626
60,76,77,4,0,0.18405633454612594
61,77,78,3,0,0.17220977581595098
62,78,79,4,1,0.18404759129511217
63,79,80,1,1,0.29268411763702573
64,80,81,2,0,0.010026145098355269
65,81,82,3,0,0.023412432613963866
66,84,85,5,0,0.1042323161320285
67,85,86,2,0,0.14728417762506302
68,86,87,1,1,0.25470818225981545
69,87,88,3,0,0.043030763448996902
70,88,89,5,0,0.070797354646938065
71,89,90,1,0,0.61921850787537214
72,91,92,4,0,0.20167688304578721
73,93,94,5,0,0.22205397967641313
74,94,95,2,0,0.17224779825921066
75,95,96,4,0,0.17389489769786434
76,96,97,1,0,0.16772984632568491
77,97,98,2,0,0.06421206349712856
78,98,99,1,0,0.11920485691784631
79,99,100,1,1,0.10084626799234524
80,100,101,3,0,0.088521281820195807
81,101,102,5,0,0.084464139945946537
82,102,103,4,0,0.28415212606854812
83,103,104,5,1,0.11016956703194922
84,105,106,3,0,0.15332151825532481
85,106,107,3,0,0.1327110138989481
86,107,108,1,0,0.14805081364445233
87,108,109,1,0,0.13471819274024838
88,110,111,5,0,0.15814693367359914
89,111,112,1,0,0.22848650913232393
90,112,113,1,0,0.75473725438159878
91,114,115,1,0,0.19739742810444003
92,115,116,4,1,0.53404619603772552
93,116,117,1,0,0.18611933130052646
94,117,118,1,1,0.67625163828480528
95,119,120,2,0,0.087247837493350341
96,120,121,4,1,0.71862203028900473
97,121,122,3,1,0.3720840490117765
98,122,123,2,0,0.38344992981242459
99,123,124,1,1,0.63240022221731396
100,124,125,4,0,0.16818629839903826
101,125,126,3,0,0.37718590461122248
102,126,127,2,0,0.068029624670055369
103,127,128,3,1,0.13414811718919634
104,128,129,2,1,0.11978834008564977
105,129,130,3,0,0.6221441759029277
106,130,131,4,0,0.087243710273711333
107,132,133,2,0,0.12599679588134638
108,133,134,3,0,0.058048378271680225
109,134,135,4,0,0.11281589886331954
110,135,136,4,0,0.39979828960569763
111,136,137,3,0,0.037092383690190522
112,137,138,3,0,0.048913229034307559
113,138,139,4,1,0.15620687455626547
114,139,140,1,0,0.13428376559490782
115,140,141,1,1,0.38744390858288574
116,142,143,2,0,0.45140427570407921
117,143,144,1,0,0.034993288769012511
118,144,145,1,0,0.12586073701832706
119,145,146,5,0,0.20573908820143944
120,146,147,2,1,0.066434712041677974
121,147,148,3,0,0.353543939467932
122,148,149,2,0,0.5326623313131611
123,150,151,3,0,0.18590663137107788
124,151,152,2,0,0.075217923781231405
125,152,153,5,0,0.16523295877224414
126,153,154,1,0,0.027790232967509102
127,155,156,3,0,0.036231052377517774
128,156,157,2,0,0.024337608936191205
129,157,158,1,0,0.10775014706618094
130,159,160,3,0,0.52906343468435757
131,160,161,2,0,0.66554607672703181
132,161,162,4,0,0.23610950098310612
133,162,163,5,0,0.19094934468076791
134,165,166,3,0,0.042224218804507337
135,166,167,4,0,0.038031772610741227
136,167,168,2,0,0.38829202177623812
137,168,169,4,0,0.22343501577588556
138,169,170,5,0,0.097180504303719578
139,170,171,3,0,0.047731614693893143
140,171,172,3,0,0.11415695361690631
141,172,173,4,0,0.12143122493201391
142,173,174,3,1,0.36363323117856972
143,174,175,2,0,0.32703155742529977
144,175,176,5,1,0.76982858970326984
145,177,178,2,0,0.43782107870670689
146,179,180,4,0,0.18553644354347887
147,180,181,2,0,0.19277438872870417
148,182,183,3,0,0.0086966233439202921
149,183,184,3,1,0.20127903647805356
150,184,185,3,0,0.086440739310963993
151,185,186,3,1,0.32817381171617477
152,186,187,2,0,0.068219735177838414
153,187,188,3,1,0.67431628468787264
154,189,190,2,0,0.63478306368199811
155,190,191,3,0,0
156,191,192,2,1,0.62428504670456286
157,193,194,3,0,0.32413728410761561
158,194,195,1,0,0.11316932654447506
