k,accuracy_mean,accuracy_std,accuracy_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,f1_mean,f1_std,f1_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count
1,0.7302083333333333,0.005572673281289699,5,0.3900626967149308,0.010814543991281905,5,0.3891505189113777,0.011008953688178084,5,0.3895530548168876,0.009674123062257579,5,0.6081163461260446,0.006229445672584424,5
3,0.7767916666666667,0.0028965077152399397,5,0.4937030848226397,0.009078146991951553,5,0.36221061394306975,0.017964756555304287,5,0.41773771148654115,0.014552987462237847,5,0.6283792581271344,0.007875703157836852,5
5,0.79225,0.0030419520414073243,5,0.5474134912269514,0.010165934518856445,5,0.3509104689283286,0.014384853334606852,5,0.42757887090397767,0.01279753033330722,5,0.6342588289852642,0.006670659031823725,5
7,0.8001250000000001,0.0047337991261424146,5,0.5814886607377243,0.016279834650720637,5,0.34356370620048954,0.02101726029821767,5,0.4317452756766662,0.019828441309612314,5,0.6366845868692559,0.010125777868601258,5
9,0.8060833333333333,0.0043735116515983795,5,0.6084792564485751,0.013552800748694993,5,0.34525933144121934,0.022718537190415923,5,0.44033595385486424,0.021202809789438525,5,0.6411170467896159,0.010743820570104756,5
11,0.8082499999999999,0.0053937817850228725,5,0.620253192583158,0.01866581414914789,5,0.3426236840844103,0.02101868328501961,5,0.44130278549197755,0.021632382565729635,5,0.6415648231069757,0.010867081433738412,5
13,0.80975,0.004633719258507865,5,0.6274873450614319,0.016441492316542985,5,0.3439426614908651,0.017045110944591768,5,0.44426553505601973,0.017843498704274707,5,0.6430001349094858,0.008968698946271223,5
15,0.8102083333333333,0.004861359120657532,5,0.6311475038086244,0.017210347028042385,5,0.3411169152506873,0.01782546551380014,5,0.44281248984568844,0.019018539913585954,5,0.64228279944714,0.009462714881948445,5
17,0.8110833333333334,0.0055578554267310745,5,0.6362630298367737,0.019738209867774942,5,0.3399859067681238,0.020466309684943885,5,0.4430869332526516,0.0219920586219596,5,0.6424395565178342,0.010862737224715124,5
19,0.8124583333333334,0.0062558999929843645,5,0.6426634793883552,0.023206286830388445,5,0.34205835733975165,0.021119260983786005,5,0.44640193308494924,0.023283584915958697,5,0.6440642745909805,0.011500833236960972,5
21,0.812625,0.004996960881931707,5,0.644509411849564,0.01952351893310468,5,0.3407404449130355,0.0156602513005663,5,0.44575674078844296,0.017758061792110504,5,0.643699586236071,0.008726045455650396,5
23,0.813125,0.004171871748854338,5,0.6481403121402277,0.017048980582338134,5,0.3394221774930732,0.0121110220449036,5,0.44550078033875307,0.014068254495146726,5,0.6435487099563748,0.006898367376593779,5
25,0.81325,0.003979112128771076,5,0.6504444494983977,0.016701926465255222,5,0.3367842226801635,0.013452851218322431,5,0.4437061929867293,0.014358922095448064,5,0.6426844496576807,0.007038912302265233,5
27,0.813875,0.004962095911339621,5,0.655108659670041,0.019881605789077397,5,0.3347131920815206,0.016294312229690373,5,0.4429843288167753,0.018036947797058518,5,0.6423444720161021,0.008828519437313448,5
29,0.8138333333333334,0.004673822638435904,5,0.6542495276833414,0.018166787149499902,5,0.33565498916383113,0.01569835311901324,5,0.4436268478549266,0.0173858880341962,5,0.6426548783783803,0.00849949561611698,5
31,0.814125,0.004358600214900758,5,0.6570800493355188,0.016589280454427785,5,0.33377139499921016,0.01578306161608356,5,0.4426115627214557,0.017115865659020544,5,0.6421678484883231,0.008328398441566793,5
