test_position,row_id,original_id,y_true,final_python_score,final_python_label,final_python_threshold_margin,final_weka_score,final_weka_label,final_weka_threshold_margin,abs_score_difference
0,1,2,1,0.34743491419068367,1,0.015893777636342477,0.34743161001498452,1,0.015890473460643317,3.3041756991591953e-06
1,11,12,0,0.17699901539677521,0,-0.15454212115756599,0.17698567882454355,0,-0.15455545772979765,1.3336572231653632e-05
2,14,15,0,0,0,-0.3315411365543412,5.1611322166660312e-08,0,-0.33154108494301904,5.1611322166660312e-08
3,17,18,0,0.085049567876027285,0,-0.2464915686783139,0.085057349163847704,0,-0.24648378739049348,7.7812878204186475e-06
4,20,21,0,0.032232618809848242,0,-0.29930851774449296,0.032227528623950438,0,-0.29931360793039075,5.0901858978033565e-06
5,21,22,1,0.31091229771089046,0,-0.020628838843450736,0.31075120647267829,0,-0.020789930081662911,0.0001610912382121743
6,26,27,1,0.23170615375558526,0,-0.099834982798755939,0.23173387484356539,0,-0.099807261710775808,2.7721087980131509e-05
7,33,34,0,0.029756707391300537,0,-0.30178442916304066,0.029757111045818591,0,-0.30178402550852262,4.0365451805385311e-07
8,34,35,0,0.066187119308256104,0,-0.26535401724608509,0.066195411560052139,0,-0.26534572499428905,8.2922517960354325e-06
9,45,46,1,0.40112337799277759,1,0.069582241438436387,0.39246566137910815,1,0.060924524824766957,0.0086577166136694306
10,54,55,0,0.70937956867709528,1,0.37783843212275409,0.70922930458048228,1,0.37768816802614108,0.00015026409661300644
11,63,64,1,0.16477139415212325,0,-0.16676974240221795,0.16478859716476782,0,-0.16675253938957338,1.7203012644573246e-05
12,65,66,1,0.23104402998210852,0,-0.10049710657223268,0.23104105643935041,0,-0.10050008011499079,2.973542758105685e-06
13,66,67,1,0.60280307642969044,1,0.27126193987534925,0.6027979375470266,1,0.2712568009926854,5.1388826638465446e-06
14,73,74,0,0.22975321104333757,0,-0.10178792551100363,0.22978718680741633,0,-0.10175394974692487,3.3975764078764126e-05
15,75,76,0,0.23968725351801284,0,-0.091853883036328354,0.23969604028239719,0,-0.09184509627194401,8.7867643843442256e-06
16,82,83,1,0.078511121229809799,0,-0.2530300153245314,0.078515508739547241,0,-0.25302562781479399,4.3875097374412864e-06
17,83,84,0,0.16641095419103591,0,-0.16513018236330529,0.16649327648782519,0,-0.16504786006651601,8.2322296789283378e-05
18,90,91,1,0.72817450341971501,1,0.39663336686537382,0.72821314413271998,1,0.39667200757837878,3.8640713004967076e-05
19,92,93,0,0.23245802417630537,0,-0.099083112378035826,0.23039945709351575,0,-0.10114167946082545,0.0020585670827896196
20,104,105,0,0.65400863191234715,1,0.32246749535800595,0.65404967744501563,1,0.32250854089067443,4.104553266848221e-05
21,109,110,0,0.31842643985335922,0,-0.013114696700981976,0.31845241405490665,0,-0.013088722499434546,2.5974201547429576e-05
22,113,114,0,0.049605147215882606,0,-0.28193598933845859,0.049525532070591988,0,-0.28201560448374918,7.9615145290617972e-05
23,118,119,0,0.056269880201084095,0,-0.27527125635325711,0.056291556797455081,0,-0.27524957975688613,2.1676596370985568e-05
24,131,132,0,0.22154772603702255,0,-0.10999341051731865,0.22154347283532064,0,-0.10999766371902056,4.2532017019147883e-06
25,141,142,0,0.14981507012885562,0,-0.18172606642548558,0.14984530998203194,0,-0.18169582657230926,3.0239853176322606e-05
26,149,150,0,0.20627540572093486,0,-0.12526573083340634,0.20627662231969288,0,-0.12526451423464832,1.2165987580137205e-06
27,154,155,0,0.12578637209567767,0,-0.20575476445866353,0.1258021256888712,0,-0.20573901086547,1.5753593193529314e-05
28,158,159,1,0.6126363575865158,1,0.2810952210321746,0.61265806727130467,1,0.28111693071696348,2.170968478887314e-05
29,163,164,0,0.18006224682451286,0,-0.15147888972982834,0.1801130675281217,0,-0.1514280690262195,5.0820703608844831e-05
30,164,165,0,0.044156118049685909,0,-0.28738501850465531,0.044210753437895878,0,-0.28733038311644532,5.4635388209968438e-05
31,176,177,0,0.088215645195033054,0,-0.24332549135930814,0.088217686955328542,0,-0.24332344959901264,2.0417602954875269e-06
32,178,179,0,0.23959034686793998,0,-0.091950789686401219,0.23960768343152725,0,-0.091933453122813952,1.7336563587266873e-05
33,181,182,0,0.039013503532415228,0,-0.29252763302192597,0.03901541432230516,0,-0.29252572223203605,1.9107898899320408e-06
