test_position,row_id,original_id,y_true,final_sklearn_score,final_sklearn_label,final_sklearn_threshold_margin,final_cpp_score,final_cpp_label,final_cpp_threshold_margin,abs_score_difference
353,1757,1758,0,0.58932096450696525,1,0.25777982795262405,0.58932096450465987,1,0.25777982795031867,2.3053781106341376e-12
699,3435,3436,0,0.29888188522297965,0,-0.03265925133136155,0.30740660027347277,0,-0.024134536280868424,0.0085247150504931257
1905,9475,9476,1,0.52553664083298557,1,0.19399550427864437,0.52553664083034002,1,0.19399550427599882,2.6455504453792855e-12
1992,9995,9996,0,0.32418169796974361,0,-0.0073594385845975885,0.31509820072130618,0,-0.016442935833035022,0.0090834972484374332
2326,11825,11826,1,0.43525709193319745,1,0.10371595537885625,0.44044058121603619,1,0.10889944466169499,0.005183489282838738
3908,19713,19714,0,0.24861788428581336,0,-0.082923252268527842,0.23983844673892399,0,-0.09170268981541721,0.0087794375468893682
4557,23041,23042,0,0.31635137922840328,0,-0.015189757325937914,0.32410530961976985,0,-0.0074358269345713435,0.0077539303913665703
5608,28204,28205,1,0.23587632012337326,0,-0.095664816430967942,0.24381411640739509,0,-0.087727020146946111,0.0079377962840218308
5761,28885,28886,0,0.23920679929281799,0,-0.092334337261523208,0.24665718354504079,0,-0.084883953009300406,0.0074503842522228025
5892,29491,29492,1,0.33630260297939796,1,0.0047614664250567595,0.34449287887956614,1,0.012951742325224946,0.0081902759001681869
