k,metric,weights,accuracy_mean,accuracy_std,accuracy_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,specificity_mean,specificity_std,specificity_count,f1_mean,f1_std,f1_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count,roc_auc_mean,roc_auc_std,roc_auc_count,average_precision_mean,average_precision_std,average_precision_count
1,euclidean,uniform,0.73020833333333335,0.0055726732812896992,5,0.39006269671493082,0.010814543991281905,5,0.3891505189113777,0.011008953688178084,5,0.82708217334071144,0.0066154123022652989,5,0.38955305481688762,0.0096741230622575791,5,0.60811634612604459,0.006229445672584424,5,0.60811634612604459,0.0062294456725844232,5,0.28697222543450956,0.005441993870568651,5
3,euclidean,uniform,0.77679166666666666,0.0028965077152399397,5,0.49370308482263969,0.0090781469919515526,5,0.36221061394306975,0.017964756555304287,5,0.89454790231119896,0.0035658366362752857,5,0.41773771148654115,0.014552987462237847,5,0.62837925812713435,0.0078757031578368525,5,0.67525075840018123,0.0061773375853761857,5,0.37020793833049997,0.009321579932980488,5
5,euclidean,uniform,0.79225000000000001,0.0030419520414073243,5,0.54741349122695138,0.010165934518856445,5,0.35091046892832861,0.014384853334606852,5,0.91760718904219996,0.0030862542843223761,5,0.42757887090397767,0.01279753033330722,5,0.6342588289852642,0.0066706590318237249,5,0.70103970734411991,0.0058841324792003689,5,0.41500790783199981,0.012487311703300089,5
7,euclidean,uniform,0.80012500000000009,0.0047337991261424146,5,0.58148866073772432,0.016279834650720637,5,0.34356370620048954,0.021017260298217669,5,0.92980546753802229,0.0037835294990073388,5,0.43174527567666621,0.019828441309612314,5,0.63668458686925589,0.010125777868601258,5,0.7168485391521624,0.0076464460947457029,5,0.43902983833415093,0.013814637073248493,5
9,euclidean,uniform,0.80608333333333326,0.0043735116515983795,5,0.60847925644857515,0.013552800748694993,5,0.34525933144121934,0.022718537190415923,5,0.93697476213801245,0.0027388601031015634,5,0.44033595385486424,0.021202809789438525,5,0.6411170467896159,0.010743820570104756,5,0.72783597142404166,0.0065863120813708168,5,0.45593681812720888,0.014666864203738694,5
11,euclidean,uniform,0.80824999999999991,0.0053937817850228725,5,0.62025319258315803,0.018665814149147891,5,0.3426236840844103,0.021018683285019608,5,0.94050596212954107,0.0022481828632448697,5,0.44130278549197755,0.021632382565729635,5,0.64156482310697571,0.010867081433738412,5,0.73412439471503776,0.0059769290221701908,5,0.46866222062298729,0.01543695356232197,5
13,euclidean,uniform,0.80974999999999997,0.004633719258507865,5,0.62748734506143189,0.016441492316542985,5,0.34394266149086511,0.017045110944591768,5,0.94205760832810659,0.0021053045651616312,5,0.44426553505601973,0.017843498704274707,5,0.64300013490948582,0.0089686989462712235,5,0.7373361348856402,0.0054530620320295568,5,0.47764271114112944,0.013744060940818448,5
15,euclidean,uniform,0.81020833333333331,0.0048613591206575317,5,0.63114750380862439,0.017210347028042385,5,0.34111691525068732,0.01782546551380014,5,0.94344868364359247,0.0016785362831490329,5,0.44281248984568844,0.019018539913585954,5,0.64228279944713995,0.0094627148819484454,5,0.74012639728834029,0.0063077972820164453,5,0.48333277873960034,0.013423603256507724,5
17,euclidean,uniform,0.81108333333333338,0.0055578554267310745,5,0.63626302983677374,0.019738209867774942,5,0.33998590676812379,0.020466309684943885,5,0.94489320626754481,0.0017867762260815906,5,0.44308693325265158,0.0219920586219596,5,0.64243955651783424,0.010862737224715124,5,0.74275709782998933,0.0069791831082455045,5,0.48809835759289477,0.012676265378835367,5
19,euclidean,uniform,0.81245833333333339,0.0062558999929843645,5,0.64266347938835522,0.023206286830388445,5,0.34205835733975165,0.021119260983786005,5,0.9460701918422092,0.002655056426135879,5,0.44640193308494924,0.023283584915958697,5,0.64406427459098048,0.011500833236960972,5,0.74405999707772175,0.0051647911983695094,5,0.49163352016878009,0.012049807524320215,5
