outer_fold,stage,role,configuration_id,TN,FP,FN,TP,accuracy,precision,recall,specificity,f1,balanced_accuracy,roc_auc,average_precision,threshold,predicted_positive_rate
1,1,baseline,k25__money-standard__pay-raw__blocks-none__payw-1,3114,624,493,569,0.76729166666666671,0.47694886839899409,0.53578154425612046,0.8330658105939005,0.50465631929046562,0.68442367742501053,0.73934229207034385,0.51549546500919308,0.27420273117945831,0.24854166666666661
2,1,baseline,k25__money-standard__pay-raw__blocks-none__payw-1,3160,578,485,577,0.77854166666666658,0.49956709956709949,0.54331450094161948,0.84537185660781156,0.52052322958953545,0.69434317877471563,0.75210995335733466,0.51304061098625586,0.28777345694719347,0.24062500000000001
3,1,baseline,k25__money-standard__pay-raw__blocks-none__payw-1,3157,581,471,591,0.78083333333333327,0.50426621160409546,0.55649717514124286,0.84456928838951295,0.52909579230080572,0.70053323176537796,0.74985931125237915,0.5224702336582,0.29126341598228489,0.24416666666666659
4,1,baseline,k25__money-standard__pay-raw__blocks-none__payw-1,3178,560,503,559,0.77854166666666658,0.49955317247542441,0.52636534839924665,0.85018726591760285,0.51260889500229245,0.6882763071584248,0.74604925340499506,0.4880986110886863,0.29340013641533291,0.233125
5,1,baseline,k25__money-standard__pay-raw__blocks-none__payw-1,3203,536,529,532,0.77812499999999984,0.49812734082396998,0.50141376060320453,0.85664616207542121,0.49976514795678723,0.67902996133931293,0.74723808121794388,0.50756424529431921,0.2940943888822265,0.2225
1,1,candidate,k51__money-standard__pay-raw__blocks-none__payw-1,3140,598,485,577,0.77437500000000004,0.49106382978723401,0.54331450094161948,0.84002140181915463,0.51586946803755018,0.69166795138038706,0.74652585700481344,0.5191665870105775,0.25200174662759889,0.2447916666666666
2,1,candidate,k75__money-standard__pay-raw__blocks-none__payw-1,3195,543,488,574,0.78520833333333317,0.51387645478961497,0.54048964218455742,0.8547351524879615,0.52684717760440558,0.69761239733625935,0.76320358228566176,0.52229081990628323,0.26079151387584443,0.23270833333333329
3,1,candidate,k101__money-standard__pay-raw__blocks-none__payw-1,3267,471,498,564,0.79812499999999986,0.54492753623188395,0.53107344632768361,0.8739967897271268,0.53791130185979974,0.7025351180274052,0.75637935933593914,0.53023342731785617,0.26375464146970301,0.21562500000000001
4,1,candidate,k51__money-standard__pay-raw__blocks-none__payw-1,3145,593,473,589,0.7779166666666667,0.49830795262267341,0.55461393596986808,0.84135901551631875,0.52495543672014255,0.69798647574309347,0.75163838785053794,0.49023930497121809,0.25702085914378198,0.24625
5,1,candidate,k75__money-standard__pay-raw__blocks-none__payw-1,3255,484,538,523,0.78708333333333325,0.51936444885799404,0.4929311969839773,0.87055362396362657,0.50580270793036752,0.68174241047380202,0.75195855691303348,0.53085006995538997,0.26816789093241727,0.2097916666666666
1,2,baseline,k101__money-standard__pay-raw__blocks-none__payw-1,3213,525,500,562,0.78645833333333326,0.51701931922723077,0.52919020715630882,0.8595505617977528,0.52303396928804091,0.69437038447703081,0.75192669272368373,0.51814440007156315,0.2455987433804592,0.22645833333333329
2,2,baseline,k101__money-standard__pay-raw__blocks-none__payw-1,3213,525,486,576,0.78937500000000005,0.52316076294277924,0.5423728813559322,0.8595505617977528,0.53259361997226073,0.70096172157684244,0.76303833283456213,0.52247752186258434,0.25415625185691171,0.229375
3,2,baseline,k101__money-standard__pay-raw__blocks-none__payw-1,3267,471,498,564,0.79812499999999986,0.54492753623188395,0.53107344632768361,0.8739967897271268,0.53791130185979974,0.7025351180274052,0.75637935933593914,0.53023342731785617,0.26375464146970301,0.21562500000000001
4,2,baseline,k101__money-standard__pay-raw__blocks-none__payw-1,3170,568,497,565,0.77812499999999984,0.49867608120035301,0.532015065913371,0.84804708400214013,0.51480637813211838,0.69003107495775562,0.7590611362511952,0.4966001953971787,0.24329915064200749,0.23604166666666659
5,2,baseline,k101__money-standard__pay-raw__blocks-none__payw-1,3213,526,519,542,0.78229166666666672,0.50749063670411976,0.51083883129123464,0.85932067397699907,0.50915922968529825,0.68507975263411691,0.75437570060994497,0.52952857999430558,0.24802949300329161,0.2225
1,2,candidate,k101__money-signed_log__pay-raw__blocks-none__payw-1,3175,563,454,608,0.78812499999999985,0.51921434671221167,0.57250470809792842,0.84938469769930436,0.54455888938647545,0.71094470289861644,0.76578233019863196,0.51647393781758155,0.25781910611662762,0.2439583333333333
2,2,candidate,k101__money-signed_log__pay-raw__blocks-none__payw-1,3168,570,452,610,0.78708333333333325,0.51694915254237284,0.5743879472693032,0.8475120385232745,0.54415700267618194,0.7109499928962888,0.77488427500329993,0.52219085210952854,0.26815857298512569,0.24583333333333329
3,2,candidate,k101__money-signed_log__pay-raw__blocks-none__payw-1,3145,593,430,632,0.78687499999999988,0.51591836734693874,0.59510357815442561,0.84135901551631875,0.55268911237428942,0.71823129683537223,0.77601557879124061,0.54394630822571721,0.25490306160107018,0.25520833333333331
4,2,candidate,k101__money-signed_log__pay-raw__blocks-none__payw-1,3165,573,484,578,0.77979166666666655,0.50217202432667241,0.54425612052730687,0.8467094703049759,0.52236782647989155,0.69548279541614144,0.75941392871501423,0.49814931031017068,0.26561550949967633,0.2397916666666666
5,2,candidate,k101__money-signed_log__pay-raw__blocks-none__payw-1,3179,560,484,577,0.78249999999999986,0.50747581354441507,0.54382657869934015,0.85022733351163415,0.52502274795268422,0.69702695610548715,0.76682138167654335,0.5312512716062221,0.25206442832516829,0.236875
1,3,baseline,k101__money-signed_log__pay-raw__blocks-none__payw-1,3175,563,454,608,0.78812499999999996,0.51921434671221178,0.57250470809792842,0.84938469769930447,0.54455888938647556,0.71094470289861644,0.76578233019863196,0.51647393781758166,0.25781910611662767,0.24395833333333333
2,3,baseline,k101__money-signed_log__pay-raw__blocks-none__payw-1,3168,570,452,610,0.78708333333333336,0.51694915254237284,0.5743879472693032,0.8475120385232745,0.54415700267618194,0.7109499928962888,0.77488427500329993,0.52219085210952854,0.26815857298512574,0.24583333333333332
3,3,baseline,k101__money-signed_log__pay-raw__blocks-none__payw-1,3145,593,430,632,0.78687499999999999,0.51591836734693874,0.59510357815442561,0.84135901551631886,0.55268911237428942,0.71823129683537223,0.77601557879124061,0.54394630822571721,0.25490306160107029,0.25520833333333331
4,3,baseline,k101__money-signed_log__pay-raw__blocks-none__payw-1,3165,573,484,578,0.77979166666666666,0.50217202432667241,0.54425612052730699,0.8467094703049759,0.52236782647989155,0.69548279541614144,0.75941392871501423,0.49814931031017079,0.26561550949967633,0.23979166666666665
5,3,baseline,k101__money-signed_log__pay-raw__blocks-none__payw-1,3179,560,484,577,0.78249999999999997,0.50747581354441518,0.54382657869934026,0.85022733351163415,0.52502274795268422,0.69702695610548715,0.76682138167654346,0.5312512716062221,0.25206442832516834,0.236875
1,3,candidate,k101__money-signed_log__pay-structured__blocks-none__payw-1,3228,510,479,583,0.79395833333333332,0.53339432753888383,0.54896421845574384,0.8635634028892456,0.54106728538283066,0.70626381067249477,0.7695921361413649,0.52890406815556512,0.27655776001497956,0.22770833333333335
2,3,candidate,k101__money-signed_log__pay-structured__blocks-none__payw-1,3147,591,437,625,0.78583333333333338,0.51398026315789469,0.58851224105461397,0.8418940609951846,0.5487269534679543,0.71520315102489929,0.77783521203822092,0.52805023168733878,0.26373965949798589,0.25333333333333335
3,3,candidate,k101__money-signed_log__pay-structured__blocks-none__payw-1,3152,586,442,620,0.78583333333333338,0.51409618573797677,0.58380414312617701,0.84323167469234883,0.54673721340388004,0.71351790890926292,0.779044732220318,0.55108375662924414,0.25227072842966336,0.25124999999999997
4,3,candidate,k101__money-signed_log__pay-structured__blocks-none__payw-1,3212,526,504,558,0.78541666666666665,0.51476014760147604,0.52542372881355937,0.85928303905831993,0.52003727865796834,0.6923533839359397,0.759779694268363,0.50433897915711656,0.29009065714696652,0.22583333333333333
5,3,candidate,k101__money-signed_log__pay-structured__blocks-none__payw-1,3327,412,539,522,0.801875,0.5588865096359743,0.49198868991517436,0.88981010965498797,0.52330827067669172,0.69089939978508119,0.76666333087896665,0.53314917589181421,0.30248293027674839,0.19458333333333333
1,4,baseline,k101__money-signed_log__pay-structured__blocks-none__payw-1,3228,510,479,583,0.79395833333333332,0.53339432753888383,0.54896421845574384,0.8635634028892456,0.54106728538283066,0.70626381067249477,0.7695921361413649,0.52890406815556512,0.27655776001497956,0.22770833333333335
2,4,baseline,k101__money-signed_log__pay-structured__blocks-none__payw-1,3147,591,437,625,0.78583333333333338,0.51398026315789469,0.58851224105461397,0.8418940609951846,0.5487269534679543,0.71520315102489929,0.77783521203822092,0.52805023168733878,0.26373965949798589,0.25333333333333335
3,4,baseline,k101__money-signed_log__pay-structured__blocks-none__payw-1,3152,586,442,620,0.78583333333333338,0.51409618573797677,0.58380414312617701,0.84323167469234883,0.54673721340388004,0.71351790890926292,0.779044732220318,0.55108375662924414,0.25227072842966336,0.25124999999999997
4,4,baseline,k101__money-signed_log__pay-structured__blocks-none__payw-1,3212,526,504,558,0.78541666666666665,0.51476014760147604,0.52542372881355937,0.85928303905831993,0.52003727865796834,0.6923533839359397,0.759779694268363,0.50433897915711656,0.29009065714696652,0.22583333333333333
5,4,baseline,k101__money-signed_log__pay-structured__blocks-none__payw-1,3327,412,539,522,0.801875,0.5588865096359743,0.49198868991517436,0.88981010965498797,0.52330827067669172,0.69089939978508119,0.76666333087896665,0.53314917589181421,0.30248293027674839,0.19458333333333333
1,4,candidate,k101__money-signed_log__pay-structured__blocks-AB__payw-1,3255,483,489,573,0.79749999999999999,0.54261363636363635,0.53954802259887003,0.8707865168539326,0.54107648725212465,0.70516726972640131,0.77780183467195452,0.54059659391264991,0.28663124859767924,0.22
